what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1329604265250
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.200.v201004290730,"org.eclipse.jst.j2ee.ejb.annotations.ui",1329604265250
stopped,bundle,org.jboss.tools.central,1.0.0.v20111027-1746-H8-M4,"org.jboss.tools.central",1329604265252
stopped,bundle,org.jboss.tools.maven.project.examples,1.3.0.v20111103-2122-H33-M4,"org.jboss.tools.maven.project.examples",1329604265252
stopped,bundle,org.jboss.tools.project.examples.cheatsheet,1.2.1.v20111103-2106-H32-M4,"org.jboss.tools.project.examples.cheatsheet",1329604265252
stopped,bundle,org.jboss.tools.runtime,1.3.0.v20111021-1903-H36-M4,"org.jboss.tools.runtime",1329604265253
stopped,bundle,org.jboss.tools.runtime.ui,1.3.0.v20111021-1903-H36-M4,"org.jboss.tools.runtime.ui",1329604265257
stopped,bundle,org.jboss.tools.project.examples,1.2.1.v20111103-2106-H32-M4,"org.jboss.tools.project.examples",1329604265265
stopped,bundle,org.jboss.tools.runtime.seam.detector,1.3.0.v20111021-1903-H36-M4,"org.jboss.tools.runtime.seam.detector",1329604265265
stopped,bundle,org.jboss.tools.seam.text.ext,3.3.0.v20111020-1412-H45-M4,"org.jboss.tools.seam.text.ext",1329604265265
stopped,bundle,org.jboss.tools.seam.core,3.3.0.v20111020-1412-H45-M4,"org.jboss.tools.seam.core",1329604265266
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1329604265266
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1329604265266
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.200.v201103302125,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1329604265266
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.4.0.v20111022-0922-H35-M4,"org.hibernate.eclipse.jdt.apt.ui",1329604265266
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.4.0.v20111022-0922-H35-M4,"org.hibernate.eclipse.jdt.ui",1329604265267
stopped,bundle,org.hibernate.eclipse.mapper,3.4.0.v20111022-0922-H35-M4,"org.hibernate.eclipse.mapper",1329604265267
stopped,bundle,org.jboss.tools.birt.oda.ui,1.3.0.v20111022-0840-H33-M4,"org.jboss.tools.birt.oda.ui",1329604265267
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.4.0.v20111022-0922-H35-M4,"org.jboss.tools.hibernate.jpt.core",1329604265267
stopped,bundle,org.jboss.tools.hibernate.ui,3.4.0.v20111022-0922-H35-M4,"org.jboss.tools.hibernate.ui",1329604265267
stopped,bundle,org.jboss.tools.maven.hibernate,1.3.0.v20111103-2122-H33-M4,"org.jboss.tools.maven.hibernate",1329604265267
stopped,bundle,org.hibernate.eclipse.console,3.4.0.v20111022-0922-H35-M4,"org.hibernate.eclipse.console",1329604265268
stopped,bundle,org.jboss.tools.maven.jbosspackaging,1.3.0.v20111103-2122-H33-M4,"org.jboss.tools.maven.jbosspackaging",1329604265268
stopped,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.ui.mbeans",1329604265269
stopped,bundle,org.jboss.ide.eclipse.as.classpath.ui,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.classpath.ui",1329604265269
