what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.ide.eclipse.as.egit.ui,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.egit.ui",1329692395689
stopped,bundle,org.jboss.ide.eclipse.as.egit.core,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.egit.core",1329692395689
stopped,bundle,org.jboss.ide.eclipse.as.management.as7,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.management.as7",1329692395690
stopped,bundle,org.jboss.tools.runtime.as.detector,1.3.0.v20111021-1903-H36-M4,"org.jboss.tools.runtime.as.detector",1329692395690
stopped,bundle,org.jboss.ide.eclipse.as.core,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.core",1329692395706
stopped,bundle,org.jboss.ide.eclipse.as.wtp.core,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.wtp.core",1329692395706
stopped,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1329692395706
stopped,bundle,org.eclipse.jpt.common.ui,1.0.0.v201104120000,"org.eclipse.jpt.common.ui",1329692395706
stopped,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1329692395706
stopped,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1329692395706
stopped,bundle,org.eclipse.jst.j2ee.jca,1.1.500.v201108102200,"org.eclipse.jst.j2ee.jca",1329692395706
stopped,bundle,org.maven.ide.eclipse.wtp.overlay.ui,0.14.0.20110928-2045,"org.maven.ide.eclipse.wtp.overlay.ui",1329692395706
stopped,bundle,org.maven.ide.eclipse.wtp.overlay,0.14.0.20110928-2045,"org.maven.ide.eclipse.wtp.overlay",1329692395706
stopped,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1329692395706
stopped,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1329692395706
stopped,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1329692395706
stopped,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1329692395706
stopped,bundle,org.jboss.tools.common.validation,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common.validation",1329692395706
stopped,bundle,org.jboss.tools.common.el.core,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common.el.core",1329692395706
stopped,bundle,org.jboss.tools.common.gef,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common.gef",1329692395706
stopped,bundle,org.jboss.tools.common.jdt,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common.jdt",1329692395706
stopped,bundle,org.jboss.tools.common.verification,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common.verification",1329692395706
stopped,bundle,org.jboss.tools.hibernate.xml,3.4.0.v20111022-0922-H35-M4,"org.jboss.tools.hibernate.xml",1329692395706
stopped,bundle,org.jboss.tools.common.model,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common.model",1329692395707
stopped,bundle,org.jboss.tools.common.projecttemplates,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common.projecttemplates",1329692395707
stopped,bundle,org.jboss.tools.common.resref.core,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common.resref.core",1329692395707
stopped,bundle,org.jboss.tools.deltacloud.core,1.0.1.v20111022-0926-H35-M4,"org.jboss.tools.deltacloud.core",1329692395707
stopped,bundle,org.jboss.tools.jst.firstrun,3.3.0.v20111021-1521-H30-M4,"org.jboss.tools.jst.firstrun",1329692395707
stopped,bundle,org.jboss.tools.vpe.xulrunner,3.3.0.v20111021-0444-H25-M4,"org.jboss.tools.vpe.xulrunner",1329692395707
stopped,bundle,org.jboss.tools.common,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common",1329692395707
stopped,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1329692395707
stopped,bundle,org.eclipse.birt.chart.device.pdf,3.7.1.v20110905,"org.eclipse.birt.chart.device.pdf",1329692395707
stopped,bundle,org.eclipse.birt.report.designer.ui.cubebuilder,3.7.1.v20110905,"org.eclipse.birt.report.designer.ui.cubebuilder",1329692395707
